property,total_issues
B0001,21
M0146C,7
B0031,8
L0001,3
B0018A,120
B0210,13
B0039A,9
B0022,21
B0200B,3
B0015,39
B0013,9
B0023,1
B0034,1
B0250,8
B0106,4
B0036A,38
B0004,12
B0012,1
B0202,61
M0210,2
B0011B,2
B0038,26
B0006B,26
B0040,15
M0002,1
B0025,13
B0024,6
B0042,31
B0120,13
B0100,3
M0010,2
B0002,22
I0210,6
B0041A,5
B0003,1
B0099,2
B0021,3
B0101,28
B0253A,206
B0105,15
B0102,53
B0CAM,6
M0005,4
B0037,60
B0011,68
B0254,45
B0256,25
B0010,1
I0002,2
B0028,6
M0156,1
B0019,2
M0025,1
B0011A,3
B0005,53
M0145,2
B0009,25
B0200A,24
B0036B,1
