"acronym","property","craft_code","count"
"AB","B0039A","ALARM: TROUBLE","2"
"AB","B0039A","DOOR","1"
"AB","B0039A","HOT/COLD","3"
"AB","B0039A","INVESTIGATE ISSUE","1"
"AB","B0039A","LEAK - BLDGMAINT","1"
"AB","B0039A","PEST/INSECT","1"
"ASRC","B0253A","ABANDONED PROPERTY","2"
"ASRC","B0253A","AC UNIT","1"
"ASRC","B0253A","ACCESS","4"
"ASRC","B0253A","ALARM: GENERAL","1"
"ASRC","B0253A","ALARM: TROUBLE","9"
"ASRC","B0253A","ANIMAL","2"
"ASRC","B0253A","AUTO DOORS","2"
"ASRC","B0253A","BATHROOM CLEANING","2"
"ASRC","B0253A","BIO CLEANUP","2"
"ASRC","B0253A","BIO-CLEANUP","4"
"ASRC","B0253A","BROKEN GLASS","1"
"ASRC","B0253A","CARPENTRY","23"
"ASRC","B0253A","CARPET CLEANING","1"
"ASRC","B0253A","CUSTODIAL","6"
"ASRC","B0253A","CUSTODIAL ASSISTANCE","7"
"ASRC","B0253A","DISPENSER PROBLEM","2"
"ASRC","B0253A","DISPENSER REFILLING","5"
"ASRC","B0253A","DOOR","7"
"ASRC","B0253A","DRAINS","4"
"ASRC","B0253A","ELECTRICAL","10"
"ASRC","B0253A","ELECTRICAL OUTAGE","1"
"ASRC","B0253A","ELEVATOR","1"
"ASRC","B0253A","EQUIPMENT","1"
"ASRC","B0253A","FIRE EQUIPMENT","2"
"ASRC","B0253A","FIXTURES","1"
"ASRC","B0253A","GLASS CLEANING","1"
"ASRC","B0253A","GRAFFITI","14"
"ASRC","B0253A","HOT/COLD","6"
"ASRC","B0253A","HVAC","4"
"ASRC","B0253A","INVESTIGATE ISSUE","7"
"ASRC","B0253A","KEY REPORT","1"
"ASRC","B0253A","LANDSCAPING","1"
"ASRC","B0253A","LEAK - PLUMBING","5"
"ASRC","B0253A","LEAK - SYSTEMS","1"
"ASRC","B0253A","LIGHTS","14"
"ASRC","B0253A","LOCK/UNLOCK","3"
"ASRC","B0253A","LOCKS","13"
"ASRC","B0253A","MOPPING","1"
"ASRC","B0253A","PAINT","1"
"ASRC","B0253A","PLUMBING","22"
"ASRC","B0253A","POWER WASH","2"
"ASRC","B0253A","SHARPS","1"
"ASRC","B0253A","SHARPS COLLECTION","1"
"ASRC","B0253A","SPILL CLEANUP","3"
"ASRC","B0253A","TOILET CLOGGED","1"
"ASRC","B0253A","TRASH COLLECTION","1"
"ASRC","B0253A","WHITE/TACK BOARDS","2"
"BBG","M0002","GRAFFITI","1"
"BDWY","B0254","ALARM: TROUBLE","1"
"BDWY","B0254","BLDG WALK THRU","1"
"BDWY","B0254","BOILER","2"
"BDWY","B0254","CARPENTRY","2"
"BDWY","B0254","CEILING TILE","1"
"BDWY","B0254","CLASSROOM CLEANING","1"
"BDWY","B0254","CONTRACT - HVAC","1"
"BDWY","B0254","CUSTODIAL","1"
"BDWY","B0254","DOOR","2"
"BDWY","B0254","ELECTRICAL","4"
"BDWY","B0254","ELECTRICAL OUTAGE","1"
"BDWY","B0254","FIRE EQUIPMENT","2"
"BDWY","B0254","FIXTURES","1"
"BDWY","B0254","GRAFFITI","3"
"BDWY","B0254","GRAFFITI REMOVAL","1"
"BDWY","B0254","HOT/COLD","3"
"BDWY","B0254","HOUSING CHECKS","1"
"BDWY","B0254","HVAC","2"
"BDWY","B0254","INVESTIGATE ISSUE","1"
"BDWY","B0254","LIGHTS","2"
"BDWY","B0254","LOCKS","1"
"BDWY","B0254","MAINT REACTIVE","3"
"BDWY","B0254","PLUMBING","2"
"BDWY","B0254","RISK","1"
"BDWY","B0254","SIGNS","2"
"BDWY","B0254","SURPLUS","1"
"BDWY","B0254","TRASH COLLECTION","1"
"BDWY","B0254","VANDALISM","1"
"BLKS","B0101","ALARM: SUPERVISORY","1"
"BLKS","B0101","BOILER","1"
"BLKS","B0101","CARPENTRY","8"
"BLKS","B0101","DRAINS","1"
"BLKS","B0101","ELECTRICAL","2"
"BLKS","B0101","HOT/COLD","1"
"BLKS","B0101","KITCHEN EQUIPMENT","1"
"BLKS","B0101","LEAK - BLDGMAINT","1"
"BLKS","B0101","LEAK - PLUMBING","1"
"BLKS","B0101","LIGHTS","1"
"BLKS","B0101","LOCKS","2"
"BLKS","B0101","MAINT REACTIVE","3"
"BLKS","B0101","PATCH AND REPAIR","1"
"BLKS","B0101","PLUMBING","3"
"BLKS","B0101","POWER WASH","1"
"BLU","B0120","DOOR","1"
